"","jday","Site","month","TS.5_mean","TS.10_mean","TS.30_mean","RH_mean","PARin_mean","SWin_mean","VPD_mean","Ta_mean","WTH._mean","SWC_mean","Precip_mean","TS.5_min","TS.10_min","TS.30_min","RH_min","PARin_min","SWin_min","VPD_min","Ta_min","WTH._min","SWC_min","Precip_min","TS.5_max","TS.10_max","TS.30_max","RH_max","PARin_max","SWin_max","VPD_max","Ta_max","WTH._max","SWC_max","Precip_max"
"1",1,"BB1","Jan",7.09722681205532,6.78115904650426,NA,89.9717660425532,NA,27.948284606383,0.120568637609226,8.81579794946808,11.7091258348704,NA,0.157446808510638,NA,NA,NA,69.836304,NA,0,0,6.039484,NA,NA,0,NA,NA,NA,100,NA,280.523193,0.441191800879436,12.649285,NA,NA,1.1
"2",1,"BB2","Jan",5.79391034751773,5.70286895035461,5.60259390070922,87.5573259392198,59.4112099148936,29.383525787234,0.148303570007087,8.43492530851064,12.8231891808511,NA,0.146808510638298,5.321333,5.197326,5.18419866666667,64.98758232432,-1.489571,-2.543456,-0.00452609042805725,4.957814,8.818298,NA,0,6.618847,6.31680933333333,6.105181,100.464104,568.376404,281.848907,0.5243932795039,13.01124,16.746704,NA,0.9
"3",2,"BB1","Jan",6.73709557303333,6.57576494738281,NA,93.53347703125,17.1050009940182,6.97080309375,0.0602747235129536,6.28858435416667,12.2593481214583,NA,0.227083333333333,-140.464615,-142.045792,NA,69.490295,0,0,0.00581706433272041,2.664632,10.259099128,NA,0,6.926196,6.621828,NA,99.485031,172.491987607323,72.629112,0.288859723434568,9.172819,15.257188394,NA,1.5
"4",2,"BB2","Jan",5.39026627777778,5.48332526041667,5.53049407986111,91.2251379273817,15.2489395208333,6.76517132291667,0.0812332240927755,5.83837367708333,12.2767231770833,NA,0.211458333333333,4.352684,4.860174,5.05989266666667,64.59440191735,-1.522857,-2.418564,0.0129355866923236,2.294033,8.228897,NA,0,6.413593,6.170096,6.072243,98.548424,150.379807,70.839363,0.331113475912945,8.44037,17.609406,NA,1.4
"5",3,"BB1","Jan",6.33590234375,6.02643454166667,NA,88.87796896875,45.7161946987008,25.5613490520833,0.143749724692485,8.38847508333333,12.797813017625,NA,0.25,6.060892,5.840062,NA,57.844742,0,0,0,4.538218,10.224574606,NA,0,6.711364,6.238011,NA,100,407.447350631176,337.501556,0.624368934971623,12.840705,14.10982043,NA,2.3
"6",3,"BB2","Jan",5.80607986111111,5.71857347222222,5.70821456944444,85.9920631784707,53.0180819270833,26.52494825,0.17416038810619,7.91411414583333,12.9450669375,NA,0.214583333333333,4.62846066666667,4.90791733333333,5.10745333333333,51.36121067686,-1.581108,-3.58536,0.00643647791060474,3.148822,8.882202,NA,0,6.38169,6.19370733333333,6.10562366666667,99.263495,568.647888,302.959595,0.720844178046983,12.85017,16.2005,NA,2.1
"7",4,"BB1","Jan",6.54496091666667,6.2110528125,NA,90.8842070208333,51.0670467662884,24.6269195520833,0.0903392474103927,6.48419809375,12.5631719563542,NA,0.2375,6.241906,6.016224,NA,72.685577,0,0,0,2.889337,10.908854416,NA,0,6.890528,6.367618,NA,100,578.922461503043,288.518982,0.284697716320576,8.833048,14.593674664,NA,1.9
"8",4,"BB2","Jan",5.69997388194444,5.73443160763889,5.72621351736111,88.899983879074,47.60134109375,23.5505551875,0.108758170779867,5.98147060416667,12.6724996041667,NA,0.221875,4.92672233333333,5.16277466666667,5.260308,68.22529671241,-2.163622,-2.787071,-0.00462971434080687,1.428578,9.152199,NA,0,6.28220333333333,6.07371666666667,6.035212,100.662804,557.911682,289.841003,0.328804681694906,8.77777,16.641693,NA,2
"9",5,"BB1","Jan",6.31614705208333,6.10230888541667,NA,90.5757304895833,40.1909597975329,20.0652909791667,0.0931127991060751,6.09607233333333,12.3120941950625,NA,0.239583333333333,5.959625,5.891481,NA,68.229416,0,0,0,2.81015,10.35074865,NA,0,6.670229,6.286488,NA,100,610.466143452276,305.967987,0.32852160854449,8.355052,15.358021788,NA,2.1
"10",5,"BB2","Jan",5.20669238194444,5.41821213541667,5.5243279375,87.9487281304673,39.1900289583333,20.3393798958333,0.11702507960457,5.70025001041667,12.2322886666667,NA,0.183333333333333,4.60828266666667,5.05472833333333,5.23714666666667,63.16162728328,-0.615792,-3.185224,-0.0066269502787946,2.009538,8.2005,NA,0,5.919256,5.94132666666667,5.93148733333333,100.8974,601.283813,307.101288,0.381059816583721,8.261499,17.291107,NA,1.9
