"","jday","Site","month_local","co2","ch4","co2gC","ch4gC","ch4mgC"
"1",1,"BB2","1",0.258613695652174,0.00269864365217391,0.268354121885217,0.00280028536668939,2.80028536668939
"2",2,"BB2","1",0.582198692307692,0.0268818576923077,0.604126623854769,0.0278943359804308,27.8943359804308
"3",3,"BB2","1",0.324883909090909,0.00717220545454545,0.337120336642909,0.00744233940078546,7.44233940078546
"4",4,"BB2","1",0.380765307692308,0.0165426121538462,0.395106452241231,0.0171656730980086,17.1656730980086
"5",5,"BB2","1",0.3905146875,0.0057825814375,0.40522303269,0.006000376584762,6.000376584762
"6",7,"BB1","1",-0.0284653333333333,0.01164,-0.029537451648,0.01207840896,12.07840896
"7",7,"BB2","1",0.556234,0.00853333333333333,0.577183997376,0.0088547328,8.8547328
"8",8,"BB1","1",0.65852825,0.011745,0.683331058008,0.01218736368,12.18736368
"9",8,"BB2","1",0.0553097677419355,0.00164672025806452,0.0573929548341677,0.00170874232986426,1.70874232986426
"10",9,"BB2","1",0.290745380952381,0.00160590476190476,0.301696014980571,0.00166638955885714,1.66638955885714
"11",10,"BB1","1",0.463612333333333,0.00983144666666667,0.481073828256,0.01020173827392,10.20173827392
"12",10,"BB2","1",0.561738,0.000884,0.582895300032,0.000917294976,0.917294976
"13",11,"BB1","1",0.596081416666667,0.00592941366666667,0.618532227144,0.006152739103008,6.152739103008
"14",11,"BB2","1",0.672822066666667,-0.00504502666666667,0.6981632369856,-0.00523504255104,-5.23504255104
"15",12,"BB1","1",-0.657196885714286,0.0143050793571429,-0.681949549217829,0.0148438658660503,14.8438658660503
"16",12,"BB2","1",0.261466666666667,-0.00725666666666667,0.2713145472,-0.00752998176,-7.52998176
"17",13,"BB1","1",0.1274849125,0.00211263811875,0.1322865042444,0.0021922085208546,2.1922085208546
"18",13,"BB2","1",0.258179536585366,-0.00277924390243902,0.267903610651317,-0.00288392134478049,-2.88392134478049
"19",14,"BB1","1",0.171487191304348,0.0043334747826087,0.177946084877635,0.00449669077682087,4.49669077682087
"20",14,"BB2","1",0.184827068965517,0.00402986206896552,0.191788395691034,0.00418164279393103,4.18164279393103
"21",15,"BB2","1",0.321618161290323,-0.00497716129032258,0.333731587717161,-0.00516462109316129,-5.16462109316129
"22",16,"BB2","1",0.4035518,0.00361493333333333,0.4187511749952,0.0037510861824,3.7510861824
"23",24,"BB2","1",0.547766714285714,0.0288727142857143,0.568397799812571,0.0299601761965714,29.9601761965714
"24",25,"BB2","1",0.412543555555556,-0.00136544444444444,0.428081596032,-0.001416872544,-1.416872544
"25",26,"BB2","1",0.469087391304348,0.00745704347826087,0.486755098810435,0.00773790556382609,7.73790556382609
